       Timestamp     Open     High      Low    Close   Volume
03-21-25 08:00PM  $84,062  $84,300  $83,957  $84,136   144.09
12-05-24 07:00PM  $97,049 $102,104  $96,424  $99,891 17801.21
12-04-24 07:00PM  $98,746 $104,000  $92,056  $97,044 36399.82
12-03-24 07:00PM  $95,925  $99,263  $94,635  $98,746 17528.92
12-02-24 07:00PM  $95,863  $96,310  $93,571  $95,925 17898.70
12-01-24 07:00PM  $97,259  $98,200  $94,401  $95,863 15554.61
11-30-24 07:00PM  $96,465  $97,896  $95,753  $97,263  4039.28
11-29-24 07:00PM  $97,490  $97,510  $96,130  $96,465  3476.04
11-28-24 07:00PM  $95,666  $98,750  $95,383  $97,491 12587.02
11-27-24 07:00PM  $95,951  $96,676  $94,672  $95,666  5586.55
11-26-24 07:00PM  $91,930  $97,386  $91,747  $95,951 15213.91
11-25-24 07:00PM  $93,001  $95,005  $90,683  $91,930 17848.02
11-24-24 07:00PM  $98,032  $98,999  $92,535  $93,000 20695.91
11-23-24 07:00PM  $97,779  $98,700  $95,781  $98,028  8654.77
11-22-24 07:00PM  $99,024  $99,044  $97,215  $97,779 12072.47
11-21-24 07:00PM  $98,439  $99,860  $97,210  $99,024 29936.62
11-20-24 07:00PM  $94,384  $99,074  $94,127  $98,439 31188.09
11-19-24 07:00PM  $92,445  $94,990  $91,600  $94,393 20329.04
11-18-24 07:00PM  $90,521  $94,106  $90,403  $92,436 18267.16
11-17-24 07:00PM  $89,877  $92,675  $89,373  $90,520 17340.77
11-16-24 07:00PM  $90,639  $91,440  $88,714  $89,887  5574.55
11-15-24 07:00PM  $91,058  $91,821  $90,069  $90,636  6598.03
11-14-24 07:00PM  $87,339  $91,935  $87,101  $91,058 20388.33
11-13-24 07:00PM  $90,499  $91,831  $86,672  $87,340 23422.76
11-12-24 07:00PM  $88,035  $93,495  $86,220  $90,494 42318.69
11-11-24 07:00PM  $88,771  $90,100  $85,010  $88,035 40111.81
11-10-24 07:00PM  $80,428  $89,666  $80,277  $88,771 35560.12
11-09-24 07:00PM  $76,716  $81,534  $76,535  $80,429 16728.21
11-08-24 07:00PM  $76,567  $76,953  $75,759  $76,716  4836.57
11-07-24 07:00PM  $75,925  $77,312  $75,654  $76,567 18378.40
11-06-24 07:00PM  $75,647  $76,999  $74,464  $75,920 21932.40
11-05-24 07:00PM  $69,381  $76,510  $69,286  $75,647 45398.12
11-04-24 07:00PM  $67,810  $70,558  $67,428  $69,381 12867.66
11-03-24 07:00PM  $68,736  $69,454  $66,784  $67,807 12431.01
11-02-24 08:00PM  $69,361  $69,365  $67,444  $68,738  6758.89
11-01-24 08:00PM  $69,467  $69,892  $69,000  $69,359  2204.00
10-31-24 08:00PM  $70,198  $71,620  $68,720  $69,467 15295.29
10-30-24 08:00PM  $72,323  $72,684  $69,559  $70,198 14726.78
10-29-24 08:00PM  $72,724  $72,949  $71,400  $72,323 13543.49
10-28-24 08:00PM  $69,924  $73,625  $69,706  $72,724 20616.91
10-27-24 08:00PM  $67,943  $70,236  $67,532  $69,924 16140.14
10-26-24 08:00PM  $67,008  $68,261  $66,837  $67,943  2819.60
10-25-24 08:00PM  $66,565  $67,365  $66,332  $67,013  2949.22
10-24-24 08:00PM  $68,157  $68,742  $65,500  $66,565 14485.49
10-23-24 08:00PM  $66,601  $68,800  $66,445  $68,157 10016.20
10-22-24 08:00PM  $67,390  $67,416  $65,150  $66,601  9021.17
10-21-24 08:00PM  $67,346  $67,800  $66,535  $67,380  8598.06
10-20-24 08:00PM  $69,015  $69,498  $66,802  $67,346 10226.59
10-19-24 08:00PM  $68,364  $69,380  $68,083  $69,015  2632.89
10-18-24 08:00PM  $68,426  $68,689  $68,006  $68,364  1868.87
10-17-24 08:00PM  $67,400  $69,001  $67,149  $68,426 11802.74
10-16-24 08:00PM  $67,608  $67,927  $66,630  $67,402  7912.23
10-15-24 08:00PM  $67,057  $68,399  $66,743  $67,608 12465.76
10-14-24 08:00PM  $66,066  $67,945  $64,778  $67,057 16324.01
10-13-24 08:00PM  $62,848  $66,500  $62,427  $66,066 13638.71
10-12-24 08:00PM  $63,183  $63,270  $62,033  $62,845  2257.61
10-11-24 08:00PM  $62,519  $63,474  $62,464  $63,187  3943.91
10-10-24 08:00PM  $60,280  $63,417  $60,030  $62,519 11454.99
10-09-24 08:00PM  $60,578  $61,272  $58,864  $60,280 10462.58
